Ticker,Company,Sector,Industry,Market Cap,Days Seen,Total Days,Dates,Max ATR%,Max EPS%,Max Appearances,Screeners Hit,Base Score,Signal Score,Q Rank,Stage,Quality Mod,Watch,Last SMA50%,EP,IPO,MULTI,HIGH,CHAR,CC_DEEP,CC_WATCH
SNDK,Sandisk Corp,Technology,Computer Hardware,293.23B,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",8.2,395.2,5,"10% Change, 52 Week High, Base / Near-High, Growth, IPO, Power Move",180.0,275.0,100,Uptrend,30,False,35.2,True,True,True,False,False,False,False
TNGX,Tango Therapeutics Inc,Healthcare,Biotechnology,4.48B,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",9.0,32.4,3,"52 Week High, Power Move, Week 20%+ Gain",150.0,255.0,76,Uptrend,30,False,38.0,True,False,True,False,True,False,False
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,46.26B,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",9.8,755.0,4,"10% Change, 52 Week High, Base / Near-High, Growth, Power Move",170.0,250.0,99,Uptrend,30,False,28.1,True,False,True,False,False,False,False
ALAB,Astera Labs Inc,Technology,Semiconductors,62.93B,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",8.9,533.6,4,"52 Week High, Base / Near-High, Growth, IPO, Power Move",170.0,245.0,102,Uptrend,30,False,59.7,False,True,True,True,False,False,False
VELO,Velo3D Inc,Technology,Computer Hardware,759.93M,4,6,"2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",14.7,94.3,5,"10% Change, 52 Week High, Growth, Power Move, Week 20%+ Gain",136.7,241.7,89,Uptrend,30,False,25.1,True,False,True,False,True,False,False
BTSG,BrightSpring Health Services Inc,Healthcare,Health Information Services,12.26B,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",3.5,290.9,4,"52 Week High, Base / Near-High, Growth, IPO",160.0,235.0,105,Uptrend,30,False,13.5,False,True,True,True,False,False,False
UCTT,Ultra Clean Hldgs Inc,Technology,Semiconductor Equipment & Materials,4.88B,5,6,"2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",8.0,-786.9,3,"10% Change, 52 Week High, Power Move, Week 20%+ Gain",143.3,223.3,64,Uptrend,30,False,22.2,True,False,True,False,False,False,False
LRCX,Lam Research Corp,Technology,Semiconductor Equipment & Materials,458.72B,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",6.0,47.7,3,"52 Week High, Base / Near-High, Growth, Power Move",160.0,220.0,83,Uptrend,30,False,17.8,False,False,True,True,False,False,False
MU,Micron Technology Inc,Technology,Semiconductors,1106.99B,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",8.2,410.2,4,"10% Change, Base / Near-High, Growth, Power Move",160.0,210.0,112,Uptrend,30,False,48.2,False,False,True,False,False,False,False
ZVRA,Zevra Therapeutics Inc,Healthcare,Biotechnology,747.80M,6,6,"2026-06-08, 2026-06-09, 2026-06-10, 2026-06-11, 2026-06-12, 2026-06-13",6.2,215.3,3,"10% Change, Base / Near-High, Growth, Power Move",160.0,210.0,72,Uptrend,30,False,15.8,False,False,True,False,False,False,False
